Name,WMC,TCC,LOCC,NBM,GOD LASS,CBO,ATFD,NOAP,NOA,NOM,FDP,CM,CC,NOAM,AMW,Brainlass
Template,2,1,45,0,0,0,0,1,2,2,0,2,2,1,1,0
ReportProps,18,0,95,0,0,0,0,0,2,12,0,25,8,0,1.5,0
Result,34,0.04,303,0,0,3,4,19,27,17,1,10,2,0,2,0
Metrics,155,0.21,1184,3,1,4,4,18,34,34,1,9,5,4,4.56,0
HTMLTableGraphGenerator3,59,0.1,326,1,0,1,0,0,34,28,0,0,0,4,2.11,0
GraphImage,60,0.24,379,0,0,1,0,0,33,32,0,3,1,4,1.88,0
Counter,0,0,46,0,0,0,0,0,0,7,0,1,1,0,0,0
CounterService,7,1,43,0,0,0,0,0,1,6,0,1,1,0,1.17,0
Client,0,0,15,0,0,0,0,0,0,6,0,1,1,0,0,0
Connection,0,0,17,0,0,0,0,0,3,11,0,1,1,0,0,0
ConnectionListener,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0
NioBaseServer,18,0.06,173,0,0,0,0,0,8,16,0,1,1,0,1.12,0
Acceptor,15,0.33,73,0,0,1,4,0,0,4,1,0,0,0,3.75,0
NioClient,26,0.38,104,0,0,3,3,0,2,14,3,0,0,0,1.86,0
NioServer,14,0.5,116,0,0,3,3,0,1,8,3,0,0,0,1.75,0
Receiver,0,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0
ReceiverAdapter,3,0,19,0,0,0,0,0,0,3,0,2,1,0,1,0
TcpBaseServer,4,0,17,0,0,0,0,0,1,4,0,0,0,0,1,0
TcpClient,29,0.27,114,0,0,2,2,0,2,16,2,0,0,0,1.81,0
TcpServer,14,0.07,137,0,0,2,0,0,4,10,0,4,1,4,1.4,0
GridFilesystem,22,0.41,98,0,0,2,0,0,4,15,0,0,0,0,1.47,0
GridInputStream,24,0,105,0,0,1,2,7,9,10,1,0,0,0,2.4,0
GridOutputStream,14,0.04,98,0,0,1,2,7,9,9,1,0,0,0,1.56,0
MethodInvoker,0,1,14,0,0,0,0,0,0,1,0,0,0,0,0,0
MethodLookup,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
ReplicatedMap,0,0,17,0,0,0,0,0,0,8,0,0,0,0,0,0
V,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Request,14,0.03,74,0,0,1,0,0,4,15,0,0,0,0,0.93,0
RequestOptions,61,0,175,0,0,0,0,0,7,45,0,7,4,13,1.36,0
RspFilter,0,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0
T,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ResponseMode,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Response,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0
RpcDispatcher,32,0,182,0,0,0,0,0,3,16,0,1,1,6,2,0
RpcDispatcherAnycastMultipleCallsTest,28,0.02,113,0,0,0,0,0,2,10,0,0,0,0,2.8,0
RpcDispatcherAnycastTest,3,1,83,0,0,3,3,0,6,3,3,0,0,0,1,0
ServerObject,3,0,15,0,0,0,0,0,1,3,0,0,0,1,1,0
RpcDispatcherExceptionTest,6,0.83,53,0,0,3,3,2,3,4,3,0,0,0,1.5,0
Target,1,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0
Pojo,0,0,3,0,0,0,0,2,2,1,0,0,0,0,0,0
RpcDispatcherInterruptTest,8,0.13,87,0,0,2,2,0,4,6,2,0,0,0,1.33,0
RpcDispatcherSerializationTest,9,0.8,117,0,0,4,6,0,5,5,4,0,0,0,1.8,0
NonSerializable,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0
RpcDispatcherUnicastMethodExceptionTest,18,0.43,134,0,0,2,3,2,2,18,2,0,0,0,1,0
AwaitInfo,4,0,27,0,0,0,0,0,2,4,0,0,0,1,1,0
LockInfo,8,0,47,0,0,0,0,0,6,8,0,0,0,3,1,0
LockNotification,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0
ForkChannel,44,0.09,291,0,0,1,1,0,3,24,1,0,0,0,1.83,0
ForkProtocol,5,0,31,0,0,1,1,0,1,3,1,0,0,0,1.67,0
UnknownForkHandler,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0
Log,0,0,48,0,0,0,0,0,0,26,0,14,10,0,0,0
CustomLogFactory,0,0,6,0,0,0,0,0,0,2,0,2,1,0,0,0
JDKLogImpl,50,0.2,205,0,0,0,0,0,2,32,0,0,0,0,1.56,0
Log4J2LogImpl,41,0.85,164,0,0,0,0,0,2,29,0,0,0,0,1.41,0
LogFactory,26,0.07,122,0,0,3,0,0,6,11,0,0,0,0,2.36,0
FD_ALL3,23,0.02,136,0,0,1,0,0,2,13,0,2,2,2,1.77,0
BPING,20,0.29,126,0,0,3,3,0,6,9,3,0,0,2,2.22,0
CertficateCNMatcher,3,1,28,0,0,0,0,0,2,2,0,0,0,0,1.5,0
CLEAR_FLAGS,3,1,15,0,0,0,0,0,2,1,0,0,0,0,3,0
DELIVERY_TIME,4,1,47,0,0,0,0,0,1,4,0,0,0,0,1,0
DISCARD_PAYLOAD,7,1,34,0,0,0,0,0,3,2,0,0,0,0,3.5,0
FD_ALL,22,0.07,82,0,0,1,0,0,4,10,0,0,0,3,2.2,0
T,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FD_ALL2,15,0.05,52,0,0,0,0,0,1,7,0,0,0,2,2.14,0
Bitmap,13,0.67,49,0,0,0,0,0,2,7,0,4,2,1,1.86,0
Fragmentation,7,0.13,40,0,0,1,1,0,4,6,1,0,0,2,1.17,0
HDRS,7,1,34,0,0,0,0,0,2,3,0,0,0,0,2.33,0
KeyExchange,10,0.07,58,0,0,1,3,0,1,8,1,0,0,0,1.25,0
MPING,58,0.04,271,0,1,5,4,0,13,25,2,0,0,10,2.32,0
NoBundler,7,0,29,0,0,2,3,0,2,6,2,0,0,0,1.17,0
RED,21,0.21,133,0,0,0,0,0,14,13,0,0,0,2,1.62,0
SenderSendsBundler,3,1,24,0,0,0,0,0,1,1,0,0,0,0,3,0
SERIALIZE,13,0,85,0,0,2,2,0,3,6,2,0,0,0,2.17,0
SNIFF,9,0,51,0,0,0,0,0,2,5,0,0,0,0,1.8,0
TCP,26,0.52,115,0,0,1,4,0,3,16,1,0,0,4,1.62,0
TRACE,6,0.6,39,0,0,0,0,0,0,6,0,0,0,0,1,0
ASYM_ENCRYPT_LeaveTest,6,0,36,0,0,0,0,0,2,6,0,0,0,0,1,0
ASYM_ENCRYPT_LeaveTestCbc,3,0,8,0,0,0,0,0,0,3,0,0,0,0,1,0
ASYM_ENCRYPT_LeaveTestKeyExchange,2,0,7,0,0,0,0,0,0,2,0,0,0,0,1,0
ASYM_ENCRYPT_LeaveTestKeyExchangeCbc,3,0,8,0,0,0,0,0,0,3,0,0,0,0,1,0
ASYM_ENCRYPT_TestCbc,3,0,10,0,0,0,0,0,0,3,0,0,0,0,1,0
ASYM_ENCRYPT_TestKeyExchange,6,0.2,42,0,0,0,0,0,0,6,0,0,0,0,1,0
ASYM_ENCRYPT_TestKeyExchangeCbc,3,0,10,0,0,0,0,0,0,3,0,0,0,0,1,0
AUTHTest,2,0,20,0,0,0,0,0,0,2,0,0,0,0,1,0
ENCRYPTKeystoreTestCbc,3,0,8,0,0,0,0,0,0,3,0,0,0,0,1,0
NAKACK_REBROADCAST_Test,4,1,86,0,0,2,3,0,5,3,2,0,0,0,1.33,0
MessageInterceptor,6,0,25,0,0,1,0,0,1,4,0,2,1,2,1.5,0
1,8,0,10,0,0,0,0,0,0,8,0,0,0,2,1,0
NAKACK_SET_DIGEST_Test,3,1,62,0,0,1,1,0,9,3,1,0,0,0,1,0
SYM_ENCRYPT_Test,4,0,43,0,0,0,0,0,1,4,0,0,0,0,1,0
SYM_ENCRYPT_TestCbc,3,0,12,0,0,0,0,0,0,3,0,0,0,0,1,0
TCPPING_Test,2,0,21,0,0,1,1,0,1,2,1,0,0,0,1,0
UNICAST_ContentionTest,16,0.2,176,0,0,2,3,2,5,6,2,0,0,0,2.67,0
MyReceiver,4,1,19,0,0,0,0,2,3,3,0,2,1,0,1.33,0
MySender,3,1,31,0,0,0,0,0,4,2,0,0,0,0,1.5,0
UNICAST_DropFirstAndLastTest,14,0.18,129,0,0,0,0,0,4,10,0,0,0,0,1.4,0
UNICAST_DroppedAckTest,8,0.3,53,0,0,0,0,0,2,5,0,0,0,0,1.6,0
RouteStatusListener,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0
Route,15,0.16,60,0,0,1,0,0,5,11,0,0,0,0,1.36,0
SiteAddress,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0
SiteMasterPicker,0,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0
GmsImpl,19,0,145,0,0,1,2,0,4,22,1,0,0,0,0.86,0
Request,26,0.3,82,0,0,0,0,0,10,9,0,0,0,1,2.89,0
ServerGmsImpl,14,0.42,65,0,0,0,0,0,0,10,0,0,0,0,1.4,0
AddressedDNSResolverTest,3,0,55,0,0,0,0,0,0,3,0,0,0,0,1,0
DNS_PINGTest,7,0.2,98,0,0,0,0,0,2,6,0,0,0,0,1.17,0
Experimental,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
GuardedBy,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Immutable,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LocalAddress,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ManagedAttribute,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ManagedOperation,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MBean,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Property,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsupported,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
XmlAttribute,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
XmlElement,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
XmlInclude,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Type,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AuthToken,5,0,39,0,0,0,0,0,2,8,0,0,0,1,0.62,0
Krb5Token,20,0.23,157,0,0,1,0,0,10,13,0,0,0,0,1.54,0
RegexMembership,20,0.07,77,0,0,2,0,0,4,7,0,0,0,1,2.86,0
X509Token,16,0.5,122,0,0,1,0,0,12,10,0,0,0,0,1.6,0
