Name,LOC,CYCLO,MAXNESTING,NOAV,ATFD,LAA,FDP,BrainMethod
testParsingIgnoreComments,22,1,0,8,1,0,1,0
testParsingDoNotExpandEntities,34,2,1,9,1,0,1,0
testParsingCoalescingEnabled,22,1,0,8,1,0,1,0
testDefaultParsing,22,1,0,7,0,1,0,0
testLineNumbers,36,1,0,7,0,1,0,0
MyRule,0,0,0,0,0,1,0,0
suite,3,1,0,0,0,1,0,0
testEqualsHashcode,32,2,1,10,1,0,1,0
testSetters,43,1,0,1,9,0,2,0
testConstructor,38,1,0,8,0,1,0,0
testDefaults,20,1,0,2,0,1,0,0
equals,15,11,1,3,0,1,0,0
hashCode,12,8,1,0,0,1,0,0
setXincludeAware,3,1,0,0,0,1,0,0
isXincludeAware,3,1,0,0,0,1,0,0
setValidating,3,1,0,0,0,1,0,0
isValidating,3,1,0,0,0,1,0,0
setNamespaceAware,3,1,0,0,0,1,0,0
isNamespaceAware,3,1,0,0,0,1,0,0
setIgnoringElementContentWhitespace,3,1,0,0,0,1,0,0
isIgnoringElementContentWhitespace,3,1,0,0,0,1,0,0
setIgnoringComments,3,1,0,0,0,1,0,0
isIgnoringComments,3,1,0,0,0,1,0,0
setExpandEntityReferences,3,1,0,0,0,1,0,0
isExpandEntityReferences,3,1,0,0,0,1,0,0
setCoalescing,3,1,0,0,0,1,0,0
isCoalescing,3,1,0,0,0,1,0,0
setLookupDescriptorDoc,3,1,0,0,0,1,0,0
isLookupDescriptorDoc,3,1,0,0,0,1,0,0
getEntityResolver,7,2,1,0,0,1,0,0
XmlParserOptions,10,1,0,9,0,1,0,0
XmlParserOptions,11,1,0,8,0,1,0,0
XmlLanguageModule,4,1,0,0,0,1,0,0
start,3,1,0,3,0,1,0,0
getDumpFacade,8,1,0,0,0,1,0,0
getParser,3,1,0,1,0,1,0,0
getDefaultParserOptions,3,1,0,0,0,1,0,0
getRuleViolationFactory,3,1,0,0,0,1,0,0
XmlHandler,0,0,0,0,0,1,0,0
PomLanguageModule,4,1,0,0,0,1,0,0
parse,7,1,0,4,0,1,0,0
testParser3,4,1,0,2,0,1,0,0
testParser2,4,1,0,2,0,1,0,0
testParser,4,1,0,2,0,1,0,0
setFileName,3,1,0,1,0,1,0,0
getNextToken,3,1,0,1,0,1,0,0
VmTokenManager,3,1,0,1,0,1,0,0
VmLanguageModule,4,1,0,0,0,1,0,0
start,3,1,0,3,0,1,0,0
VmHandler,0,0,0,0,0,1,0,0
getDumpFacade,8,1,0,0,0,1,0,0
getParser,3,1,0,1,0,1,0,0
getRuleViolationFactory,3,1,0,0,0,1,0,0
adjustBeginLineColumn,46,7,3,0,0,1,0,0
Done,5,1,0,0,0,1,0,0
GetSuffix,12,2,1,5,0,1,0,0
GetImage,7,2,1,4,0,1,0,0
reInit,3,1,0,3,0,1,0,0
reInit,3,1,0,4,0,1,0,0
reInit,3,1,0,3,0,1,0,0
reInit,20,3,1,0,0,1,0,0
backup,8,2,1,0,0,1,0,0
getBeginLine,3,1,0,0,0,1,0,0
getBeginColumn,3,1,0,0,0,1,0,0
getEndLine,3,1,0,0,0,1,0,0
getEndColumn,3,1,0,0,0,1,0,0
getLine,3,1,0,0,0,1,0,0
getColumn,3,1,0,0,0,1,0,0
readChar,29,4,2,1,0,1,0,0
updateLineColumn,35,7,3,0,0,1,0,0
BeginToken,7,1,0,0,0,1,0,0
fillBuff,41,9,4,4,0,1,0,0
expandBuff,39,2,1,9,0,1,0,0
VelocityCharStream,3,1,0,0,0,1,0,0
VelocityCharStream,12,1,0,0,0,1,0,0
VelocityCharStream,3,1,0,0,0,1,0,0
VelocityCharStream,3,1,0,1,0,1,0,0
formatFileString,6,3,1,1,0,1,0,0
formatFileString,3,1,0,1,3,0,1,0
formatFileString,3,1,0,1,3,0,1,0
LogUtil,1,1,0,0,0,1,0,0
handleIf,9,5,2,3,0,1,0,0
visit,4,1,0,2,0,1,0,0
visit,4,1,0,2,0,1,0,0
visit,4,1,0,2,0,1,0,0
visit,10,5,2,3,0,1,0,0
visit,12,3,2,7,0,1,0,0
visit,8,1,0,3,1,0,1,0
hasElseOrElseIf,4,2,0,1,0,1,0,0
handleIfElseIf,38,12,6,5,0,1,0,0
visit,7,2,1,2,0,1,0,0
visit,4,1,0,2,0,1,0,0
handleIf,9,2,1,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,3,1,0,2,0,1,0,0
visit,5,1,0,3,0,1,0,0
AvoidDeeplyNestedIfStmtsRule,3,1,0,1,0,1,0,0
visit,4,1,0,2,0,1,0,0
visit,8,2,1,2,0,1,0,0
indexNodes,15,2,1,4,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,4,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,6,1,0,3,0,1,0,0
visitAll,6,1,0,2,0,1,0,0
apply,3,1,0,2,0,1,0,0
setUsesTypeResolution,3,1,0,0,0,1,0,0
AbstractVmRule,3,1,0,1,0,1,0,0
apply,4,1,0,3,0,1,0,0
getViolationParameters,3,1,0,0,0,1,0,0
addDataPoint,3,1,0,2,0,1,0,0
getNumArgs,3,1,0,0,0,1,0,0
setArgArray,7,1,0,0,0,1,0,0
setName,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
getName,3,1,0,0,0,1,0,0
isScopeProvided,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
